session,party,name,bioguide_id,oppose_any,support_any,local_topic,total_posts
114,Republican Party,Thomas J. 'Tom' Rooney,R000583,0.14,0.06,0.41,822
114,Republican Party,Ileana Ros-Lehtinen,R000435,0.03,0.01,0.30,6215
114,Republican Party,Peter J. Roskam,R000580,0.19,0.06,0.28,531
114,Republican Party,Dennis A. Ross,R000593,0.14,0.08,0.55,509
114,Democratic Party,Lucille Roybal-Allard,R000486,0.06,0.09,0.49,1068
114,Republican Party,Edward R. 'Ed' Royce,R000487,0.10,0.04,0.51,688
114,Republican Party,Marco Antonio Rubio,R000595,0.17,0.05,0.29,2460
114,Democratic Party,C. A. Dutch Ruppersberger,R000576,0.01,0.02,0.56,520
114,Democratic Party,Bobby L. Rush,R000515,0.00,0.05,0.46,303
114,Republican Party,Paul D. Ryan,R000570,0.19,0.19,0.14,1520
114,Democratic Party,Tim J. Ryan,R000577,0.13,0.19,0.42,1240
114,Democratic Party,Loretta L. Sanchez,S000030,0.02,0.09,0.40,984
114,Democratic Party,John P. Sarbanes,S001168,0.02,0.06,0.52,815
114,Republican Party,Stephen Joseph 'Steve' Scalise,S001176,0.17,0.08,0.36,1330
114,Democratic Party,Janice D. 'Jan' Schakowsky,S001145,0.15,0.18,0.30,986
114,Democratic Party,Adam B. Schiff,S001150,0.11,0.10,0.33,835
114,Democratic Party,Kurt Schrader,S001180,0.02,0.03,0.73,484
114,Democratic Party,Charles E. 'Chuck' Schumer,S000148,0.07,0.11,0.48,1176
114,Republican Party,David Schweikert,S001183,0.11,0.03,0.25,4297
114,Republican Party,James 'Austin' Scott,S001189,0.08,0.06,0.62,582
114,Democratic Party,David Albert Scott,S001157,0.03,0.05,0.64,211
114,Democratic Party,Robert C. 'Bobby' Scott,S000185,0.05,0.16,0.37,446
114,Republican Party,Tim Scott,S001184,0.11,0.03,0.44,1186
114,Republican Party,Frank James 'Jim' Sensenbrenner Jr.,S000244,0.12,0.06,0.32,312
114,Democratic Party,Jose E. Serrano,S000248,0.03,0.05,0.45,561
114,Republican Party,Peter Anderson 'Pete' Sessions,S000250,0.22,0.09,0.34,984
114,Democratic Party,Terrycina Andrea 'Terri' Sewell,S001185,0.01,0.04,0.54,715
114,Republican Party,Richard Craig Shelby,S000320,0.22,0.07,0.42,648
114,Democratic Party,Bradley James 'Brad' Sherman,S000344,0.06,0.06,0.26,231
114,Republican Party,John M. Shimkus,S000364,0.12,0.09,0.52,840
114,Republican Party,William Franklin 'Bill' Shuster,S001154,0.18,0.12,0.43,660
114,Republican Party,Michael K. 'Mike' Simpson,S001148,0.08,0.04,0.61,108
114,Democratic Party,Albio Sires,S001165,0.02,0.03,0.44,593
114,Democratic Party,Louise McIntosh Slaughter,S000480,0.08,0.10,0.51,882
114,Democratic Party,Adam Smith,S000510,0.06,0.10,0.48,869
114,Republican Party,Adrian Michael Smith,S001172,0.25,0.10,0.27,67
114,Republican Party,Christopher H. 'Chris' Smith,S000522,0.03,0.02,0.49,324
114,Republican Party,Lamar S. Smith,S000583,0.14,0.08,0.47,917
114,Democratic Party,Jackie Speier,S001175,0.09,0.10,0.39,758
114,Republican Party,Steven Ernst 'Steve' Stivers,S001187,0.03,0.03,0.61,659
114,Republican Party,Marlin A. Stutzman,S001188,0.10,0.14,0.47,995
114,Democratic Party,Linda T. Sanchez,S001156,0.06,0.08,0.53,595
114,Democratic Party,Bennie G. Thompson,T000193,0.06,0.07,0.60,345
114,Democratic Party,Mike Michael Thompson,T000460,0.09,0.13,0.64,1435
114,Republican Party,Glenn Thompson,T000467,0.05,0.09,0.66,930
